shelf_name,coordinate_x,coordinate_y,shelf_width,shelf_height,shelf_depth,merch_width,merch_height,merch_depth
48 IN COOLER SHELF 4 FT/3 - 23812 * 48 IN COOLER SHELF 4 FT/3 - 13667,336.0,35.37,96.0,1.44,22.0,96.0,10.560000000000002,23.0
1820025533,2,1,8
7289000621,1,1,3
3410062602,1,1,2
3410000152,1,1,4
1820005989,1,1,3
3410057340,1,2,1
3410057505,1,1,3
7199000047,1,1,3
8992420000,1,2,1
8066095408,1,1,2
8248812300,1,1,2
7289000020,1,1,2
8834510053,1,1,2
78615000014,1,1,2
48 IN COOLER SHELF 4 FT/33624,432.0,35.37,48.0,1.44,22.0,48.0,10.560000000000002,23.0
1820025010,1,1,8
1820025505,2,1,8
85777500729,1,1,2
1820014991,1,1,3
8992423040,1,1,2
8769282102,4,1,3
48 IN COOLER SHELF 4 FT/4 - 85438 * 48 IN COOLER SHELF 4 FT/4 - 75359,48.0,47.37,96.0,1.44,22.0,96.0,11.190000000000003,23.0
3410000355,1,1,8
1820025533,1,1,8
1820000614,1,1,2
7199048045,1,2,1
1820061047,1,1,2
2210000170,1,1,2
1820020083,1,1,2
1820020059,1,1,2
1820020090,1,1,3
8992427898,1,1,2
1820012998,1,1,2
8769230050,4,1,3
8769282102,1,1,3
1820020993,1,2,3
48 IN COOLER SHELF 4 FT/4 - 65272 - 0 * 48 IN COOLER SHELF 4 FT/4 - 65272 - 1 * 48 IN COOLER SHELF 4 FT/4 - 65272 - 2 * 48 IN COOLER SHELF 4 FT/4 - 65272 - 3,144.0,47.37,192.0,1.44,22.0,192.0,11.190000000000003,23.0
7089701331,3,1,6
1820025000,2,1,8
1820025001,5,1,8
1820025508,3,1,8
68474640006,5,1,8
1820000784,1,1,2
1820000543,1,1,4
3410001509,1,1,3
3410057023,1,1,2
7199000048,1,1,3
7199030104,1,1,2
1820011047,1,1,2
1820000834,1,1,3
1820021985,1,1,8
1820097009,1,1,2
1820021986,1,1,8
1820020079,1,1,3
1820014990,1,1,2
8992427891,1,1,3
8066095675,2,1,2
8066095695,1,1,2
3354495051,1,1,2
7231133140,1,1,2
78615000001,1,1,3
8043280290,1,1,3
48 IN COOLER SHELF 4 FT/4 - 24993 * 48 IN COOLER SHELF 4 FT/4 - 14972,336.0,47.37,96.0,1.44,22.0,96.0,11.190000000000003,23.0
8066095683,1,1,6
1820025010,2,1,8
8066095643,3,1,8
